"Code Article";"Description";"Description 2";"Code Famille";"Titre Famille";"Sous-famille";"Nomenclature";"Pays d'origine";"Section";"Unité de mesure";"Code à Barres";"Code Barres Fournisseur";"Prix Unitaire";"Remise Promotion";"Prix d'Achat de Défaut";"TVA";"Existance";"Inventaire de Sécurité";"Commentaires";"Catégorie";"Fabriqué";"Suivi de Produit";"Coût par Numéro de Série";"Inactive"
"RTM305151";"(SEM IVA)(EXCELLENT) Macbook Pro 13 2020 M1 / 8GB / 512GB";"Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"5600358305151";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM327207";"(SEM IVA)(EXCELLENT) MacBook Pro 13 2020 M1 8GB 512GB SSD";"Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"5600358327207";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM327214";"(SEM IVA)(EXCELLENT) MacBook Pro 13 2020 M1 8GB 512GB SSD";"Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"5600358327214";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM289017";"(SEM IVA)(EXCELLENT) Macbook Pro 13 2022 M2 10-core";"/ 8GB / 256GB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"5600358289017";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM368477";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 8GB /";"512GB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358368477";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369542";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 Pro 16GB /";"1TB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358369542";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM367777";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 Pro 16GB /";"1TB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358367777";"";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM380356";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 PRO 16GB /";"512GB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358380356";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM378285";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 PRO 16GB /";"512GB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358378285";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM373020";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 Pro 32GB /";"1TB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358373020";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM382015";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 Pro 32GB /";"512GB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358382015";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM368439";"(SEM IVA)(EXCELLENT) MacBook Pro 14 (2021) M1 PRO 8GB /";"512GB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358368439";"";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM358546";"(SEM IVA)(EXCELLENT) MacBook Pro 14 2023 M2 Pro 16GB/ 1TB";"Space Gray";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"5600358358546";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369559";"(SEM IVA)(EXCELLENT) MacBook Pro 16 (2021) M1 Max 32GB /";"1TB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 15";"Macbook";"";"";"Uni";"5600358369559";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM330528";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019";"32GB / 512GB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358330528";"RTM330528";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM316157";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019 - Core i7-9750H";"16GB / 512GB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358316157";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM364059";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019 - Core i9-9880H";"16GB / 1TB SSD Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358364059";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM363533";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019 - Core i9-9880H";"16GB / 1TB SSD Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358363533";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM335928";"(SEM IVA)(EXCELLENT) Macbook Pro 16 2019 - i7 / 32GB / 512GB";"Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 13";"Macbook";"";"";"Uni";"56003583335928";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM339972";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019 i7-9750H 16GB 512GB";"Silver";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358339972";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM339989";"(SEM IVA)(EXCELLENT) MacBook Pro 16 2019 i7-9750H 16GB 512GB";"Space Grey";"com margem IVA";"Seminovos (com margem IVA)";"Macbook Pro 16";"Macbook";"";"";"Uni";"5600358339989";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM344396";"(SEM IVA)(EXCELLENT) Microsoft Surface Pro 5 Touch 12.3";"i3-7300U 8GB 256GB";"com margem IVA";"Seminovos (com margem IVA)";"Microsoft";"Microsoft";"";"";"uni";"5600358344396";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM367968";"(SEM IVA)(EXCELLENT) Microsoft Surface Pro 8 Touch 13";"Platinum";"com margem IVA";"Seminovos (com margem IVA)";"Microsoft";"Microsoft";"";"";"uni";"5600358367968";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM367937";"(SEM IVA)(EXCELLENT) Microsoft Surface Pro 8 Touch 13";"Graphite";"com margem IVA";"Seminovos (com margem IVA)";"Microsoft";"Microsoft";"";"";"uni";"5600358367937";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM330320";"(SEM IVA)(EXCELLENT) Nintendo Switch OLED Console";"White";"sem margem IVA";"Seminovos (sem margem IVA)";"Nintendo Switch OLED";"Nintendo";"";"";"Uni";"5600358330320";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM328778";"(SEM IVA)(EXCELLENT) Nintendo Switch OLED Console";"Black";"sem margem IVA";"Seminovos (sem margem IVA)";"Nintendo Switch OLED";"Nintendo";"";"";"Uni";"5600358328778";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM302341";"(SEM IVA)(EXCELLENT) Samsung  A22 5G 128GB Grey";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A22";"Samsung";"";"";"Uni";"5600358302341";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM372085";"(SEM IVA)(EXCELLENT) Samsung  A32 5G 128GB Black 4GB";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A32";"Samsung";"";"";"Uni";"5600358372085";"RTM372085";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM346963";"(SEM IVA)(EXCELLENT) Samsung A14 128GB 5G Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358346963";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM347328";"(SEM IVA)(EXCELLENT) Samsung A14 128GB 5G Dark Red";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358347328";"RTM347328";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM346970";"(SEM IVA)(EXCELLENT) Samsung A14 128GB 5G Light Green";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358346970";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM301276";"(SEM IVA)(EXCELLENT) Samsung A14 4GB 64GB Green";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358301276";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM301245";"(SEM IVA)(EXCELLENT) Samsung A14 5G 4GB 64GB Silver";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358301245";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM301184";"(SEM IVA)(EXCELLENT) Samsung A14 64GB Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358301184";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM301238";"(SEM IVA)(EXCELLENT) Samsung A14 64GB Dark Red";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A14";"Samsung";"";"";"Uni";"5600358301238";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM350632";"(SEM IVA)(EXCELLENT) Samsung A15 128GB 5G Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung A15";"Samsung";"";"";"Uni";"5600358350632";"RTM350632";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
